年份,综合成绩,本段人数,累计人数
2025,279.5,21,8512
2025,279.4,27,8539
2025,279.3,34,8573
2025,279.2,19,8592
2025,279.1,24,8616
2025,279.0,31,8647
2025,278.9,15,8662
2025,278.8,27,8689
2025,278.7,24,8713
2025,278.6,26,8739
2025,278.5,28,8767
2025,278.4,32,8799
2025,278.3,25,8824
2025,278.2,25,8849
2025,278.1,20,8869
2025,278.0,23,8892
2025,277.9,24,8916
2025,277.8,23,8939
2025,277.7,27,8966
2025,277.6,27,8993
2025,277.5,20,9013
2025,277.4,19,9032
2025,277.3,24,9056
2025,277.2,26,9082
2025,277.1,15,9097
2025,277.0,28,9125
2025,276.9,20,9145
2025,276.8,17,9162
2025,276.7,30,9192
2025,276.6,20,9212
2025,276.5,30,9242
2025,276.4,32,9274
2025,276.3,25,9299
2025,276.2,22,9321
2025,276.1,19,9340
2025,276.0,25,9365
2025,275.9,21,9386
2025,275.8,32,9418
2025,275.7,23,9441
2025,275.6,26,9467
2025,275.5,25,9492
2025,275.4,27,9519
2025,275.3,20,9539
2025,275.2,30,9569
2025,275.1,22,9591
2025,275.0,22,9613
2025,274.9,20,9633
2025,274.8,33,9666
2025,274.7,27,9693
2025,274.6,22,9715
2025,274.5,24,9739
2025,274.4,19,9758
2025,274.3,18,9776
2025,274.2,23,9799
2025,274.1,26,9825
2025,274.0,33,9858
2025,273.9,33,9891
2025,273.8,18,9909
2025,273.7,21,9930
2025,273.6,21,9951
2025,273.5,16,9967
2025,273.4,23,9990
2025,273.3,23,10013
2025,273.2,18,10031
2025,273.1,27,10058
2025,273.0,23,10081
2025,272.9,23,10104
2025,272.8,33,10137
2025,272.7,19,10156
2025,272.6,23,10179
2025,272.5,28,10207
2025,272.4,30,10237
2025,272.3,23,10260
2025,272.2,25,10285
2025,272.1,27,10312
2025,272.0,32,10344
2025,271.9,24,10368
2025,271.8,18,10386
2025,271.7,24,10410
2025,271.6,19,10429
2025,271.5,28,10457
2025,271.4,32,10489
2025,271.3,21,10510
2025,271.2,24,10534
2025,271.1,17,10551
2025,271.0,20,10571
2025,270.9,22,10593
2025,270.8,25,10618
2025,270.7,28,10646
2025,270.6,30,10676
2025,270.5,25,10701
2025,270.4,17,10718
2025,270.3,21,10739
2025,270.2,20,10759
2025,270.1,27,10786
2025,270.0,17,10803
2025,269.9,23,10826
